Original_Entry_ID,Gene_Symbol,SMILES
3152164,KCNH2,O=C1N=C2N(N=C1C)C(NN2)(C(C)(C)C)C
1548153,KCNH2,ClC=1C(O)=C(N2N=C3C(=N2)C=CC=C3)C=C(C1)C
977790,KCNH2,S=C1N(N=NN1CC(=O)O)C2=CC=CC=C2
658318,KCNH2,OC1=NN=C(C=2C=CC(CCCCC)=CC2)C=C1
844901,KCNH2,O1CCN(CC1)CCC(=O)NC=2C=CC(N)=CC2
2410091,KCNH2,S(CC1=C(ON=C1C)C)C=2N=CN=C3C2C=CC=C3
657853,KCNH2,S(C1=NC(=N)C(C2(CCCC2)C1C#N)C#N)C
140917,KCNH2,OC=1C=C(CC2=CC(O)=C(N)C=C2)C=CC1N
2831569,KCNH2,O=C(C[N+]1=CC(N)=CC=C1)C=2C=CC=CC2
45479967,KCNH2,S(O)(O)(N=C1CCCCC1)=CCNCCC2=CC=CC=C2
266802,KCNH2,S(=O)(=O)(NCCC(=O)O)C1=CC=C(C=C1)C
6901825,KCNH2,BrC1=C(/C=N/NC(=O)C2CC2)C=CC=C1
8933819,KCNH2,O=C(N1CCN(CC1)C=2C=CC(O)=CC2)C3CC3
1210970,KCNH2,S=C(N)C1=CC=2C=3C(C=CC2OC1=N)=CC=CC3
3237260,KCNH2,N12N=CN=C1N=C(C(CC=3C(=CC=CC3)C)=C2C)C
783283,KCNH2,FC=1C(CN(CC2=CC=CC=C2)CCO)=CC=CC1
727029,KCNH2,O=C(C=1N=C2C(=CC1)C=CC=C2)C=3C=CC=CC3
976284,KCNH2,ClC1=C(COC(=O)C2=CC=CN=C2)C(Cl)=CC=C1
3827251,KCNH2,ClC1=NC(OC=2C=C(C=CC2)C(O)=O)=CC=C1
867617,KCNH2,N1(CC2=CC=C(C=C2)C)C=3C(N=C1)=CC=CC3
898087,KCNH2,O=C(NC1CCCCC1)NC2=CC(CC)=CC=C2
264603,KCNH2,O(CC1=CC=CC=C1)C=2C(N)=CC(N(=O)=O)=CC2
2833042,KCNH2,O1CC[N+](CC1)(CCC)CC#CC2(O)CCCCC2
3788759,KCNH2,O1CCN(CC1)C2=NC(OCCCC)=C(N(=O)=O)C(=N2)C
2999608,KCNH2,P1(NC)(NC)=NC(=NC(=N1)C(F)(F)F)C(F)(F)F
1474972,KCNH2,FC1=CC=C(CN2C=3C(CCCC2=O)=CC=CC3)C=C1
2123296,KCNH2,N(CCC=1C=2C(NC1)=CC=CC2)=C3NCCC3
5334529,KCNH2,BrC=1OC(=CC1)C(=O)N/N=C/C=2OC=CC2
5759319,KCNH2,O(C(C)C)C(=O)/C(=C\C1=CC=CN=C1)/C#N
9566106,KCNH2,S=C(NC(C)C)N/N=C/C1=CC=CN=C1
3242225,KCNH2,O=C(N1CCCCC1)C2CCCN(C2)CC3=CC=CN=C3
824762,KCNH2,ClC=1N=C(N=CC1OC2=CC=CC=C2)C3=CC=CC=C3
12005581,KCNH2,BrC1=CC(=C(OCCCCC)C=C1)CSC(N)=N
2812575,KCNH2,ClC=1C=CC(NNC(=O)C=2SN=NC2C)=CC1
1487952,KCNH2,ClC1=CC=C(C=2N3N=C(SC)N=C3N=CC2)C=C1
2302977,KCNH2,O=C1NCC(C=C(C1)C2=CC=CC=C2)(C)C
24184758,KCNH2,BrC=1C=[N+](CC(=O)C=2C=CC=CC2)C=C(Br)C1
658148,KCNH2,S1C=2N(C(C3=CC=CC=C3)=C1)C(=O)C=C(OC)N2
5396510,KCNH2,BrC1=CC=C(N=CC2=C(O)C(Cl)=CC(Cl)=C2)C=C1
5401851,KCNH2,OC=1NC2=C(C1C3=NCCCCC3)C=CC=C2
